"","date","MKT_RF","SMB","HML","RMW","CMA","RF"
"1",1963-07-31,-0.39,-0.47,-0.83,0.66,-1.15,0.27
"2",1963-08-31,5.07,-0.79,1.67,0.4,-0.4,0.25
"3",1963-09-30,-1.57,-0.48,0.18,-0.76,0.24,0.27
"4",1963-10-31,2.53,-1.29,-0.1,2.75,-2.24,0.29
"5",1963-11-30,-0.85,-0.84,1.71,-0.45,2.22,0.27
"6",1963-12-31,1.83,-1.89,-0.12,0.07,-0.3,0.29
"7",1964-01-31,2.24,0.08,1.59,0.22,1.5,0.3
"8",1964-02-29,1.54,0.32,2.83,0.06,0.85,0.26
"9",1964-03-31,1.41,1.41,3.32,-2.01,2.93,0.31
"10",1964-04-30,0.1,-1.52,-0.55,-1.35,-1.08,0.29
"11",1964-05-31,1.42,-0.68,1.98,-0.26,0.24,0.26
"12",1964-06-30,1.27,0.09,0.68,-0.42,0.14,0.3
"13",1964-07-31,1.74,0.53,0.68,0.14,1.84,0.3
"14",1964-08-31,-1.44,0.3,0.09,0.06,0.36,0.28
"15",1964-09-30,2.69,-0.31,1.65,-0.48,0.58,0.28
"16",1964-10-31,0.59,0.88,1.14,-0.29,0.48,0.29
"17",1964-11-30,0,-0.27,-1.98,0.6,-0.16,0.29
"18",1964-12-31,0.03,-0.58,-2.55,1.13,-1.63,0.31
"19",1965-01-31,3.54,2.49,0.18,0.84,0.11,0.28
"20",1965-02-28,0.44,3.31,0.22,0.4,-0.69,0.3
"21",1965-03-31,-1.34,2.03,1.09,-0.3,0.73,0.36
"22",1965-04-30,3.11,1.18,0.71,0.26,-2.3,0.31
"23",1965-05-31,-0.77,0.05,-1.63,-0.38,0.7,0.31
"24",1965-06-30,-5.51,-4.3,0.55,0.12,0.41,0.35
"25",1965-07-31,1.43,1.08,2.18,-1.41,-0.02,0.31
"26",1965-08-31,2.73,2.72,-0.96,2.06,-0.75,0.33
"27",1965-09-30,2.86,0.62,-0.1,-0.82,0.82,0.31
"28",1965-10-31,2.6,3.42,1.52,1.22,-0.76,0.31
"29",1965-11-30,-0.03,5.19,0.21,-1.06,-0.9,0.35
"30",1965-12-31,1.01,2.64,1.95,-1.28,-0.45,0.33
"31",1966-01-31,0.72,4.72,3.49,-2.83,-0.07,0.38
"32",1966-02-28,-1.21,4.86,0.27,-0.15,-1.44,0.35
"33",1966-03-31,-2.51,0.22,-2.07,1.3,-0.01,0.38
"34",1966-04-30,2.14,3.36,-0.54,0.41,-0.91,0.34
"35",1966-05-31,-5.66,-5.18,-1.55,1.66,-1.52,0.41
"36",1966-06-30,-1.44,1.34,0.5,0.06,0.8,0.38
"37",1966-07-31,-1.63,-0.5,0.96,-0.45,1.77,0.35
"38",1966-08-31,-7.91,-3.03,0.47,0.05,0.77,0.41
"39",1966-09-30,-1.06,-1.18,0.53,-1.65,2.5,0.4
"40",1966-10-31,3.86,-6.53,2.87,-3.64,4.28,0.45
